0,0,0,0,0
22,0,0.06,0.08,0,0,0,0,0,0,0
23,0,0.06,0.1,0,0,0,0,0,0,0
25,0,0.08,0.02,0,0,0,0,0,0,0
26,0,0.08,0.04,0,0,0,0,0,0,0
27,0,0.08,0.06,0,0,0,0,0,0,0
28,0,0.08,0.08,0,0,0,0,0,0,0
29,0,0.08,0.1,0,0,0,0,0,0,0
31,0,0.1,0.02,0,0,0,0,0,0,0
32,0,0.1,0.04,0,0,0,0,0,0,0
0,0,0.1,0.1,0,0,0,0,0,0,0
0,0,0.1,0.1,0,0,0,0,0,0,0
0,0,0,0,0.1,0,0,0,0,0,0
1,0,0,0,0.1,0,0,0,0,0,0.1
3,0,0,0,0.1,0,0,0,0,0.1,0.1
4,0,0,0,0.1,0,0,0,0.1,0,0
5,0,0,0,0.1,0,0,0,0.1,0,0.1
8,0,0,0,0.1,0,0,0.1,0,0,0
9,0,0,0,0.1,0,0,0.1,0,0,0.1
10,0,0,0,0.1,0,0,0.1,0,0.1,0
11,0,0,0,0.1,0,0,0.1,0,0.1,0.1
12,0,0,0,0.1,0,0,0.1,0.1,0,0
13,0,0,0,0.1,0,0,0.1,0.1,0,0.1
0,0,0,0,0.1,0,0,0,0,0,0
1,0,0,0,0.1,0,0,0,0,0,0.1
