"task","bones_activated","bones_deactivated","diff_activated_minus_deactivated"
869,-8.952,-9.048,0.0959999999999965
752,0.59000000000001,0.495999999999995,0.0940000000000154
621,-1.85399999999999,-1.94400000000002,0.0900000000000247
427,-5.625,-5.715,0.0900000000000034
144,3.919,3.83,0.0890000000000057
1,-5.299,-5.387,0.088000000000001
174,-4.642,-4.728,0.0860000000000056
74,-6.08999999999998,-6.17500000000001,0.0850000000000293
1016,1.802,1.71899999999998,0.0830000000000197
1017,-0.555,-0.638000000000005,0.0830000000000055
757,-3.197,-3.27800000000001,0.0810000000000102
966,-6.42199999999999,-6.50200000000001,0.0800000000000196
10,-8.65800000000001,-8.73700000000001,0.0790000000000006
324,-3.09200000000001,-3.17100000000001,0.0790000000000006
476,1.97300000000001,1.896,0.0770000000000053
225,-1.748,-1.82200000000002,0.0740000000000194
69,-4.022,-4.09599999999999,0.073999999999991
612,-3.157,-3.23,0.0730000000000004
877,-3.59,-3.663,0.0730000000000004
432,1.78600000000001,1.714,0.0720000000000098
551,-9.838,-9.91,0.0719999999999956
153,2.898,2.827,0.0710000000000051
321,-7.36899999999999,-7.43900000000001,0.0700000000000145
212,1.49,1.42099999999999,0.0690000000000097
473,0.701,0.632999999999996,0.068000000000005
419,-8.927,-8.994,0.0670000000000002
40,2.611,2.545,0.0659999999999954
426,-6.02599999999999,-6.09100000000001,0.065000000000019
719,-3.115,-3.179,0.0640000000000001
433,-0.891999999999996,-0.955000000000005,0.0630000000000095
872,-0.163000000000004,-0.225000000000009,0.0620000000000047
359,-9.308,-9.36900000000001,0.0610000000000142
145,1.77999999999999,1.71999999999998,0.0600000000000094
971,-4.37800000000001,-4.43800000000002,0.0600000000000094
616,1.727,1.667,0.0599999999999952
835,-12.54,-12.6,0.0599999999999952
418,-9.509,-9.565,0.0560000000000045
64,-0.237999999999992,-0.292999999999992,0.0549999999999997
631,-11.176,-11.231,0.0549999999999997
522,-7.72599999999999,-7.78000000000002,0.0540000000000234
630,-12.783,-12.835,0.0520000000000138
710,-5.894,-5.94600000000001,0.0520000000000138
237,0.371000000000002,0.319999999999993,0.051000000000009
927,-4.95,-5.001,0.051000000000009
865,-10.08,-10.13,0.0500000000000185
774,-10.71,-10.759,0.0489999999999995
620,1.49700000000001,1.44899999999998,0.0480000000000231
441,1.047,0.998999999999995,0.0480000000000089
782,-6.468,-6.514,0.0459999999999994
887,-11.395,-11.44,0.045000000000023
852,-3.154,-3.199,0.0449999999999946
875,-5.88899999999999,-5.93300000000001,0.0440000000000182
926,-5.809,-5.853,0.0439999999999898
472,2.77800000000001,2.73499999999999,0.0430000000000277
714,-3.14199999999999,-3.18500000000002,0.0430000000000277
207,-2.12499999999999,-2.167,0.0420000000000087
886,-12.602,-12.644,0.0420000000000087
601,-0.433,-0.472000000000023,0.0390000000000228
462,-3.05,-3.089,0.0389999999999944
357,-5.971,-6.009,0.0380000000000038
365,-1.242,-1.28,0.0380000000000038
459,-3.693,-3.73100000000001,0.0380000000000038
361,-1.419,-1.456,0.036999999999999
999,-6.891,-6.92700000000001,0.0360000000000085
109,0.604999999999997,0.569999999999979,0.0350000000000179
696,2.498,2.46299999999999,0.0350000000000179
771,-12.897,-12.932,0.0350000000000037
864,-6.02100000000001,-6.05600000000001,0.0350000000000037
500,-0.0590000000000046,-0.0939999999999941,0.0349999999999895
100,0.237000000000016,0.203000000000003,0.0340000000000131
360,1.843,1.809,0.0339999999999989
349,-0.29499999999998,-0.328000000000017,0.0330000000000368
604,1.796,1.76299999999998,0.0330000000000226
101,-3.246,-3.27900000000001,0.0330000000000084
220,3.526,3.493,0.0330000000000084
108,3.50099999999998,3.46799999999999,0.0329999999999941
743,-6.245,-6.27700000000002,0.0320000000000178
1003,-4.173,-4.20500000000001,0.0320000000000178
105,0.806999999999995,0.774999999999991,0.0320000000000036
198,-5.24699999999999,-5.27800000000001,0.031000000000013
341,-4.516,-4.54700000000001,0.031000000000013
593,-5.894,-5.92500000000001,0.031000000000013
995,-7.752,-7.78300000000002,0.031000000000013
